2162	2163	2160	2161
1:2360001-28080000	1.01081081081081	1.6969696969697	1.01387925052047	1.86046511627907
1:32720001-248900000	2	2	2	2
2:1-242040000	2	2	2	2
3:23580001-91320000	1	1	1	1
3:93840001-147160000	2.01801801801802	2.09090909090909	2.00971547536433	2.06976744186047
3:147180001-197960000	2.99279279279279	2.33333333333333	2	2.16279069767442
4:120001-49020000	1.00540540540541	2	1.00138792505205	1.69767441860465
4:51800001-189980000	2	2	2	2
5:43140001-180920000	2	2	2	2
6:400001-39100000	1.01621621621622	1.15151515151515	1.00346981263012	1.06976744186047
6:60620001-170580000	1.97477477477477	2	2	2
7:20001-1.04e+08	2	2	2	2
7:104260001-156820000	1.01981981981982	1.03030303030303	1.00346981263012	1.02325581395349
8:85820001-144960000	3	3	2.99930603747398	2.97674418604651
9:260001-138100000	2	2	2	2
10:40001-133480000	2	2	2	2
11:340001-45640000	1.0036036036036	1.15151515151515	1.00416377515614	1.04651162790698
11:46560001-135020000	2	2	2	3
12:60001-133240000	2	2	2	2
13:15980001-114240000	2	2	2	2
14:38440001-84560000	2.00720720720721	2	2	2
15:22780001-101840000	1.99279279279279	2	2	2
16:20001-34040000	1.98918918918919	1.96969696969697	1.99028452463567	2
16:46400001-89880000	1.98558558558559	1.93939393939394	1.99097848716169	1.95348837209302
17:200001-21600000	1	1	1	1
17:42480001-83180000	1.98018018018018	1.96969696969697	1.98126301179736	1.95348837209302
19:7060001-24160000	1.95495495495495	1.87878787878788	1.94934073560028	1.97674418604651
19:27400001-58440000	2.18918918918919	2.27272727272727	2.83344899375434	2.25581395348837
20:140001-62360000	2	2	2	2
22:11560001-50720000	1.99099099099099	1.93939393939394	1.99444829979181	1.97674418604651
FO538757.2	0.210810810810811	0.151515151515152	0.185981956974323	0.209302325581395
AP006222.2	0.10990990990991	0.151515151515152	0.0631505898681471	0.0930232558139535
RP4-669L17.10	0.0126126126126126	0.0303030303030303	0.0173490631505899	0
RP11-206L10.9	0.0576576576576577	0.0303030303030303	0.0270645385149202	0.0465116279069767
LINC00115	0.0198198198198198	0	0.00971547536433033	0.0465116279069767
FAM41C	0.00900900900900901	0	0.00832755031228314	0.0465116279069767
RP11-54O7.1	0.0918918918918919	0.0606060606060606	0.099236641221374	0.0232558139534884
RP11-54O7.2	0.0144144144144144	0.0303030303030303	0.00624566273421235	0
SAMD11	0.0018018018018018	0.0303030303030303	0.00971547536433033	0
NOC2L	1.23423423423423	1.51515151515152	0.680777238029146	1.41860465116279
KLHL17	0.027027027027027	0.0303030303030303	0.0194309507286607	0.0465116279069767
PLEKHN1	0.27027027027027	0.151515151515152	0.135322692574601	0.27906976744186
RP11-54O7.17	0.165765765765766	0.272727272727273	0.073560027758501	0.209302325581395
HES4	2.91171171171171	2.72727272727273	1.46426092990978	3.72093023255814
ISG15	2.65225225225225	3.06060606060606	1.71686328938237	3.62790697674419
AGRN	0.917117117117117	0.909090909090909	0.477446217904233	0.883720930232558
RNF223	0.21981981981982	0.151515151515152	0.111034004163775	0.13953488372093
C1orf159	0.113513513513514	0.0303030303030303	0.0360860513532269	0.13953488372093
RP11-465B22.8	0.0756756756756757	0.121212121212121	0.047883414295628	0.0930232558139535
TTLL10	0.0342342342342342	0	0.0131852879944483	0.0232558139534884
SDF4	1.47747747747748	1.12121212121212	0.707841776544067	1.97674418604651
B3GALT6	0.232432432432432	0.212121212121212	0.117973629424011	0.534883720930233
FAM132A	0.0234234234234234	0.0303030303030303	0.0111034004163775	0
UBE2J2	0.699099099099099	0.727272727272727	0.342817487855656	1
SCNN1D	0.0108108108108108	0	0.00832755031228314	0
ACAP3	0.189189189189189	0.121212121212121	0.153365718251214	0.302325581395349
PUSL1	0.308108108108108	0.393939393939394	0.158917418459403	0.372093023255814
CPSF3L	0.468468468468468	0.363636363636364	0.231089521165857	0.558139534883721
CPTP	0.174774774774775	0.151515151515152	0.0749479528105482	0.186046511627907
DVL1	0.430630630630631	0.242424242424242	0.188757807078418	0.372093023255814
AURKAIP1	4.7045045045045	5.06060606060606	2.75086745315753	5
CCNL2	0.405405405405405	0.424242424242424	0.265787647467037	0.488372093023256
MRPL20	3.51891891891892	3	1.7793199167245	3.81395348837209
VWA1	0.452252252252252	0.181818181818182	0.176960444136017	0.534883720930233
ATAD3C	0.0288288288288288	0	0.0117973629424011	0
ATAD3B	0.353153153153153	0.212121212121212	0.152671755725191	0.232558139534884
ATAD3A	0.484684684684685	0.393939393939394	0.205412907702984	0.651162790697674
SSU72	3.03423423423423	3.3030303030303	1.6648160999306	3.3953488372093
RP5-832C2.5	0.036036036036036	0.0303030303030303	0.0173490631505899	0
C1orf233	0.0864864864864865	0.121212121212121	0.0596807772380291	0.0465116279069767
RP11-345P4.9	0.0324324324324324	0.0606060606060606	0.0194309507286607	0
MIB2	0.589189189189189	0.333333333333333	0.387231089521166	0.418604651162791
CDK11B	0.472072072072072	0.484848484848485	0.222761970853574	0.767441860465116
SLC35E2B	0.154954954954955	0.151515151515152	0.136016655100625	0.13953488372093
CDK11A	0.385585585585586	0.303030303030303	0.19500346981263	0.395348837209302
SLC35E2	0.0288288288288288	0	0.0111034004163775	0.0232558139534884
NADK	0.234234234234234	0.363636363636364	0.102012491325468	0.325581395348837
GNB1	1.3045045045045	1.03030303030303	0.563497571131159	1.30232558139535
TMEM52	0.304504504504505	0.212121212121212	0.122137404580153	0.162790697674419
PRKCZ	0.407207207207207	0.454545454545455	0.214434420541291	0.372093023255814
RP5-892K4.1	0.0198198198198198	0.0303030303030303	0.0104094378903539	0.0232558139534884
FAAP20	1.64864864864865	1.36363636363636	0.891047883414296	1.83720930232558
SKI	0.273873873873874	0.242424242424242	0.166551006245663	0.186046511627907
MORN1	0.0306306306306306	0.0606060606060606	0.0402498265093685	0.0697674418604651
RER1	0.828828828828829	1.15151515151515	0.591256072172103	1.53488372093023
PEX10	0.0666666666666667	0.0909090909090909	0.0652324774462179	0.186046511627907
PLCH2	0.036036036036036	0.0303030303030303	0.0360860513532269	0.0232558139534884
PANK4	0.0234234234234234	0.0606060606060606	0.0173490631505899	0.0697674418604651
RP3-395M20.12	0.0378378378378378	0.0303030303030303	0.0971547536433033	0.0465116279069767
TNFRSF14	0.0252252252252252	0.0606060606060606	0.0569049271339348	0.0697674418604651
FAM213B	0.158558558558559	0.121212121212121	0.193615544760583	0.186046511627907
MMEL1	0.0504504504504504	0.0606060606060606	0.0485773768216516	0.0930232558139535
ARHGEF16	0.151351351351351	0.333333333333333	0.142956280360861	0.418604651162791
MEGF6	0.0396396396396396	0.0303030303030303	0.0346981263011797	0.116279069767442
TPRG1L	0.16036036036036	0.333333333333333	0.144344205412908	0.232558139534884
WRAP73	0.126126126126126	0.181818181818182	0.11589174184594	0.209302325581395
TP73	0.036036036036036	0.0303030303030303	0.0249826509368494	0.0465116279069767
SMIM1	0.00720720720720721	0.0303030303030303	0.00416377515614157	0.0697674418604651
LRRC47	0.178378378378378	0.181818181818182	0.154059680777238	0.302325581395349
CEP104	0.165765765765766	0.424242424242424	0.130464954892436	0.348837209302326
DFFB	0.018018018018018	0.0606060606060606	0.0124913254684247	0
C1orf174	0.255855855855856	0.303030303030303	0.16793893129771	0.511627906976744
LINC01134	0.0288288288288288	0.0909090909090909	0.0242886884108258	0.0697674418604651
NPHP4	0.0414414414414414	0	0.0333102012491325	0.0232558139534884
KCNAB2	0.0540540540540541	0.0606060606060606	0.0506592643997224	0.162790697674419
RPL22	5.86666666666667	6	5.89937543372658	6
RNF207	0.214414414414414	0.333333333333333	0.26648160999306	0.581395348837209
ICMT	0.138738738738739	0.303030303030303	0.124219292158223	0.27906976744186
GPR153	0.0252252252252252	0.0303030303030303	0.0284524635669674	0.0232558139534884
ACOT7	0.724324324324324	1.27272727272727	0.560721721027065	1.30232558139535
HES2	0.045045045045045	0.0606060606060606	0.0638445523941707	0.0930232558139535
ESPN	0.0378378378378378	0	0.0333102012491325	0.0465116279069767
TNFRSF25	0.0288288288288288	0.0606060606060606	0.0492713393476752	0.0697674418604651
PLEKHG5	0.0198198198198198	0	0.032616238723109	0.0232558139534884
NOL9	0.142342342342342	0.333333333333333	0.102012491325468	0.232558139534884
ZBTB48	0.0594594594594595	0.0303030303030303	0.0416377515614157	0.0697674418604651
KLHL21	0.0630630630630631	0.212121212121212	0.0464954892435808	0.0465116279069767
PHF13	0.0432432432432432	0.0606060606060606	0.0464954892435808	0.0465116279069767
THAP3	0.113513513513514	0.0909090909090909	0.0950728660652325	0.0930232558139535
DNAJC11	0.0828828828828829	0.121212121212121	0.0693962526023595	0
CAMTA1	1.02522522522523	1.72727272727273	0.732824427480916	2.25581395348837
VAMP3	0.221621621621622	0.303030303030303	0.170020818875781	0.325581395348837
PER3	0.218018018018018	0.303030303030303	0.166551006245663	0.511627906976744
PARK7	3.44144144144144	5.12121212121212	2.73907009021513	5.13953488372093
ERRFI1	0.0864864864864865	0.333333333333333	0.0673143650242887	0.186046511627907
RERE	0.347747747747748	0.393939393939394	0.412213740458015	0.558139534883721
ENO1	3.86486486486486	5	2.57321304649549	5.62790697674419
GPR157	0.0774774774774775	0	0.0929909784871617	0.0930232558139535
MIR34AHG	0.0108108108108108	0	0.0124913254684247	0.0232558139534884
RP3-510D11.2	0.0126126126126126	0.0606060606060606	0.0111034004163775	0
H6PD	0.0342342342342342	0.0909090909090909	0.0471894517696044	0.0232558139534884
SPSB1	0.0612612612612613	0.151515151515152	0.0395558639833449	0.0930232558139535
SLC25A33	0.30990990990991	0.515151515151515	0.229007633587786	0.651162790697674
TMEM201	0.0882882882882883	0.121212121212121	0.0444136016655101	0.186046511627907
PIK3CD-AS2	0.00720720720720721	0	0.00902151283830673	0
CLSTN1	0.481081081081081	0.878787878787879	0.485079805690493	1.06976744186047
CTNNBIP1	0.281081081081081	0.303030303030303	0.238029146426093	0.395348837209302
LZIC	0.185585585585586	0.484848484848485	0.104788341429563	0.441860465116279
NMNAT1	0.0432432432432432	0.0606060606060606	0.0430256766134629	0.0232558139534884
RBP7	0.0144144144144144	0	0.00832755031228314	0
UBE4B	0.187387387387387	0.333333333333333	0.141568355308813	0.465116279069767
KIF1B	0.194594594594595	0.515151515151515	0.167244968771686	0.395348837209302
PGD	0.254054054054054	0.666666666666667	0.233171408743928	0.976744186046512
APITD1-CORT	0.00540540540540541	0.0303030303030303	0.00416377515614157	0.0232558139534884
APITD1	0.225225225225225	0.454545454545455	0.110340041637752	0.558139534883721
DFFA	0.733333333333333	1.54545454545455	0.604441360166551	1.23255813953488
PEX14	0.0882882882882883	0.0303030303030303	0.0957668285912561	0.372093023255814
CASZ1	0.203603603603604	0.484848484848485	0.168632893823734	0.325581395348837
TARDBP	0.493693693693694	0.696969696969697	0.362248438584316	0.651162790697674
SRM	1.33513513513514	1.84848484848485	0.96530187369882	2.27906976744186
EXOSC10	0.221621621621622	0.424242424242424	0.140180430256766	0.325581395348837
RP4-635E18.6	0.018018018018018	0.0909090909090909	0.0249826509368494	0.0232558139534884
MTOR	0.120720720720721	0.333333333333333	0.132546842470507	0.395348837209302
UBIAD1	0.122522522522523	0.0606060606060606	0.118667591950035	0.27906976744186
FBXO2	0.0594594594594595	0.121212121212121	0.099236641221374	0.13953488372093
FBXO44	0.0774774774774775	0.151515151515152	0.083969465648855	0.0697674418604651
FBXO6	0.0198198198198198	0	0.0159611380985427	0.0465116279069767
MAD2L2	0.223423423423423	0.181818181818182	0.16030534351145	0.348837209302326
AGTRAP	0.344144144144144	0.636363636363636	0.26439972241499	0.651162790697674
MTHFR	0.036036036036036	0.0303030303030303	0.0569049271339348	0.0930232558139535
CLCN6	0.0342342342342342	0.0303030303030303	0.0277585010409438	0.0465116279069767
KIAA2013	0.257657657657658	0.575757575757576	0.216516308119362	0.395348837209302
PLOD1	0.171171171171171	0.212121212121212	0.138098542678695	0.325581395348837
MFN2	0.0972972972972973	0.242424242424242	0.0964607911172797	0.186046511627907
MIIP	0.140540540540541	0.212121212121212	0.108952116585704	0.209302325581395
TNFRSF1B	0.0126126126126126	0.0303030303030303	0.00485773768216516	0.0232558139534884
VPS13D	0.0738738738738739	0.0909090909090909	0.0846634281748786	0.0697674418604651
DHRS3	0.165765765765766	0.363636363636364	0.21998612074948	0.418604651162791
PRDM2	0.318918918918919	0.242424242424242	0.265093684941013	0.372093023255814
KAZN	0.0846846846846847	0.121212121212121	0.0728660652324774	0.209302325581395
TMEM51-AS1	0.0018018018018018	0.0606060606060606	0.00416377515614157	0.0465116279069767
TMEM51	0.106306306306306	0.272727272727273	0.0929909784871617	0.325581395348837
FHAD1	0.0126126126126126	0.0606060606060606	0.0152671755725191	0.116279069767442
EFHD2	0.365765765765766	0.606060606060606	0.384455239417071	0.697674418604651
CASP9	0.0504504504504504	0.0909090909090909	0.047883414295628	0
DNAJC16	0.0720720720720721	0.151515151515152	0.077029840388619	0.0465116279069767
AGMAT	0.0324324324324324	0.0606060606060606	0.0541290770298404	0.209302325581395
DDI2	0.189189189189189	0.393939393939394	0.220680083275503	0.325581395348837
PLEKHM2	0.117117117117117	0.303030303030303	0.116585704371964	0.116279069767442
FBLIM1	0.0648648648648649	0.121212121212121	0.159611380985427	0.0232558139534884
UQCRHL	0.268468468468468	0.121212121212121	0.198473282442748	0.232558139534884
FLJ37453	0.0468468468468468	0.0606060606060606	0.0388619014573213	0.0930232558139535
SPEN	0.482882882882883	0.878787878787879	0.409437890353921	0.604651162790698
ZBTB17	0.0414414414414414	0	0.051353226925746	0.116279069767442
FAM131C	0.0828828828828829	0.0303030303030303	0.0430256766134629	0.0232558139534884
EPHA2	0.506306306306306	0.878787878787879	0.411519777931992	0.906976744186046
ARHGEF19	0.10990990990991	0.181818181818182	0.118667591950035	0.27906976744186
FBXO42	0.102702702702703	0.151515151515152	0.0756419153365718	0.162790697674419
