2186	2185
1:840001-248900000	1.15644540644541	1.20472222222222
2:1-76980000	1.14854808113235	1.25149812734082
2:81900001-184060000	1.04026517415639	1.13493723849372
2:184240001-241940000	1.48615405758263	1.56216931216931
3:40001-198080000	0.964454306162849	1.00033500837521
4:60001-1.9e+08	0.996665496665497	1.02324324324324
5:1-46400000	1.11354359925788	1.52071428571429
5:50140001-181260000	1.13667122351333	1.19013157894737
6:140001-170580000	0.986584549471147	1.03329896907216
7:20001-159300000	1.04229833911109	1.11294820717132
8:200001-145020000	1.12127258216644	1.16438547486033
9:16040001-138100000	1.04364903389294	1.10756097560976
10:40001-133500000	1.08990510736147	1.1214463840399
11:200001-134900000	1.59498834498835	1.67331730769231
12:120001-133240000	1.31826114548628	1.35610820244328
13:15980001-114320000	0.985047385047385	1.04081081081081
14:19720001-96060000	1.06077922077922	1.135
15:22240001-101840000	1.00562770562771	1.05045454545455
16:20001-31920000	1.05728715728716	1.12981481481481
16:46400001-90060000	1.03321359491572	1.07829787234043
17:120001-21860000	1.08304668304668	1.14702702702703
17:26760001-73760000	1.40158595298782	1.44034267912773
18:160001-80240000	0.890208475734791	0.930263157894737
19:240001-58560000	1.39282241822349	1.48422459893048
20:40001-64240000	1.33561175666439	1.44684210526316
21:13420001-46660000	1.18929555293192	1.26060606060606
22:16020001-50620000	1.14305617753894	1.20996168582375
FO538757.2	0.233766233766234	0.25
AP006222.2	0.467532467532468	0.7
RP11-206L10.9	0.0649350649350649	0.1
NOC2L	2	2.35
KLHL17	0.142857142857143	0.3
PLEKHN1	0.116883116883117	0.3
RP11-54O7.17	0.0909090909090909	0.1
HES4	5.36363636363636	5.2
ISG15	9.50649350649351	9.3
AGRN	0.935064935064935	0.95
RNF223	0.012987012987013	0.05
C1orf159	0.233766233766234	0.2
TNFRSF18	0.0779220779220779	0
SDF4	1.85714285714286	1.7
B3GALT6	0.051948051948052	0.05
UBE2J2	1.68831168831169	1.95
ACAP3	0.12987012987013	0.05
PUSL1	0.532467532467532	0.85
CPSF3L	2.07792207792208	2.4
CPTP	0.441558441558442	0.55
DVL1	0.415584415584416	0.55
AURKAIP1	9.18181818181818	9.6
CCNL2	0.896103896103896	0.75
MRPL20	6.16883116883117	7.4
VWA1	0.12987012987013	0.15
ATAD3C	0.0649350649350649	0.1
ATAD3B	0.519480519480519	0.4
ATAD3A	1.11688311688312	1.15
SSU72	6.63636363636364	7.2
MIB2	2.50649350649351	2.8
CDK11B	1.7012987012987	1.8
SLC35E2B	0.298701298701299	0.1
CDK11A	1.07792207792208	0.7
NADK	0.753246753246753	0.9
GNB1	1.41558441558442	2.1
TMEM52	0.532467532467532	0.9
PRKCZ	0.753246753246753	1.05
FAAP20	6.14285714285714	6.6
SKI	0.181818181818182	0.3
MORN1	0.103896103896104	0.15
RER1	4.8961038961039	4.35
PEX10	0.467532467532468	0.5
RP3-395M20.12	0.155844155844156	0.15
TNFRSF14	0.220779220779221	0.4
FAM213B	0.285714285714286	0.4
LINC00982	0.051948051948052	0
PRDM16	0.155844155844156	0.1
ARHGEF16	0.298701298701299	0.5
MEGF6	0.038961038961039	0.1
TPRG1L	0.376623376623377	0.6
WRAP73	1.16883116883117	1.4
SMIM1	0.0779220779220779	0.1
LRRC47	0.727272727272727	0.95
CEP104	0.571428571428571	0.55
C1orf174	0.675324675324675	0.45
KCNAB2	0.12987012987013	0.05
RPL22	9.93506493506493	10
RNF207	0.181818181818182	0.15
ICMT	0.831168831168831	0.4
GPR153	0.038961038961039	0.1
ACOT7	2.23376623376623	1.8
HES2	0.337662337662338	0.35
ESPN	0.246753246753247	0.4
TNFRSF25	0.142857142857143	0.1
PLEKHG5	0.168831168831169	0.2
NOL9	0.233766233766234	0.25
ZBTB48	0.311688311688312	0.55
KLHL21	0.337662337662338	0.3
PHF13	0.142857142857143	0.15
THAP3	0.688311688311688	0.6
DNAJC11	0.25974025974026	0.5
CAMTA1	2.83116883116883	2.8
VAMP3	1.61038961038961	1.4
UTS2	0.298701298701299	0.2
PARK7	9.42857142857143	9.6
ERRFI1	7.05194805194805	7.95
RP11-431K24.1	0.025974025974026	0.1
SLC45A1	0.142857142857143	0.1
RERE	0.571428571428571	0.3
ENO1	9.97402597402597	10
MIR34AHG	0.012987012987013	0
RP3-510D11.2	0.012987012987013	0.1
H6PD	0.142857142857143	0.1
SPSB1	0.467532467532468	0.45
SLC25A33	0.415584415584416	0.25
TMEM201	0.0649350649350649	0.15
PIK3CD	0.0649350649350649	0.2
PIK3CD-AS2	0.350649350649351	0.1
CLSTN1	0.506493506493506	0.6
CTNNBIP1	0.428571428571429	0.45
LZIC	0.428571428571429	0.25
NMNAT1	0.168831168831169	0.2
UBE4B	0.116883116883117	0.2
KIF1B	0.324675324675325	0.4
PGD	2.96103896103896	2.9
APITD1	0.532467532467532	0.55
DFFA	2.20779220779221	2.15
PEX14	0.467532467532468	0.6
CASZ1	0.012987012987013	0.05
TARDBP	0.844155844155844	1.45
MASP2	0.0649350649350649	0
SRM	1.55844155844156	1.45
EXOSC10	0.558441558441558	0.45
RP4-635E18.6	0.025974025974026	0
MTOR	0.285714285714286	0.3
UBIAD1	0.597402597402597	0.55
FBXO2	1.31168831168831	1.4
FBXO44	0.571428571428571	0.6
FBXO6	0.155844155844156	0.2
MAD2L2	2.37662337662338	3.45
AGTRAP	1.44155844155844	1.65
MTHFR	0.0779220779220779	0.05
CLCN6	0.0649350649350649	0.1
KIAA2013	0.311688311688312	0.4
PLOD1	0.493506493506494	0.5
MFN2	0.25974025974026	0.35
MIIP	0.922077922077922	1.4
VPS13D	0.116883116883117	0.1
DHRS3	0.194805194805195	0.65
PRDM2	0.441558441558442	0.4
TMEM51	0.38961038961039	0.4
EFHD2	0.974025974025974	0.65
CASP9	0.142857142857143	0.15
DNAJC16	0.155844155844156	0.2
AGMAT	0.0909090909090909	0
DDI2	0.0909090909090909	0.05
PLEKHM2	0.168831168831169	0.05
UQCRHL	0.0909090909090909	0.2
FLJ37453	0.025974025974026	0.1
SPEN	0.38961038961039	0.3
ZBTB17	0.233766233766234	0.35
FAM131C	0.155844155844156	0.15
EPHA2	0.324675324675325	0.2
ARHGEF19	0.116883116883117	0.25
FBXO42	0.285714285714286	0.55
SZRD1	1.33766233766234	1.6
NECAP2	0.597402597402597	0.55
NBPF1	0.272727272727273	0.35
CROCC	0.194805194805195	0.2
RP11-108M9.4	0.103896103896104	0.15
MFAP2	0.233766233766234	0.1
ATP13A2	0.571428571428571	0.45
SDHB	3.55844155844156	3.65
PADI2	0.363636363636364	0.9
RCC2	0.649350649350649	0.6
ALDH4A1	0.116883116883117	0.15
UBR4	1.06493506493506	0.8
RP1-43E13.2	0.0779220779220779	0.05
EMC1	0.12987012987013	0.2
MRTO4	1.88311688311688	1.7
AKR7A3	0.142857142857143	0.25
AKR7A2	1.93506493506494	1.95
PQLC2	0.337662337662338	0.4
CAPZB	3.16883116883117	2.9
MINOS1	3.7012987012987	3.85
NBL1	1.42857142857143	1.35
TMCO4	0.0779220779220779	0.1
OTUD3	0.103896103896104	0.15
MUL1	0.220779220779221	0.2
PINK1	0.61038961038961	1
DDOST	3.06493506493507	3.4
HP1BP3	2.05194805194805	2.25
EIF4G3	0.506493506493506	0.85
ECE1	0.350649350649351	0.25
RAP1GAP	0.038961038961039	0
USP48	0.896103896103896	1.15
HSPG2	0.103896103896104	0.05
LINC00339	0.12987012987013	0.05
CDC42	4.51948051948052	4.9
ZBTB40	0.116883116883117	0.15
EPHB2	0.103896103896104	0.05
KDM1A	0.376623376623377	0.4
LUZP1	0.87012987012987	0.85
LINC01355	0.051948051948052	0.1
HNRNPR	2.5974025974026	3.2
TCEA3	0.493506493506494	0.55
ASAP3	0.038961038961039	0.15
ID3	4.03896103896104	4.8
RPL11	10	10
TCEB3	0.506493506493506	0.5
TCEB3-AS1	0.025974025974026	0.15
PITHD1	0.922077922077922	1.3
LYPLA2	1.20779220779221	0.6
GALE	1.58441558441558	1.2
HMGCL	1.09090909090909	1.2
FUCA1	0.467532467532468	0.55
PNRC2	1.93506493506494	1.6
SRSF10	3.38961038961039	2.95
STPG1	0.285714285714286	0.25
NIPAL3	0.38961038961039	0.3
RCAN3	0.350649350649351	0.3
SRRM1	5.25974025974026	4.55
CLIC4	0.818181818181818	0.5
SYF2	4.14285714285714	3.1
RSRP1	0.597402597402597	0.7
TMEM50A	2.54545454545455	2.35
TMEM57	0.428571428571429	0.65
LDLRAP1	0.220779220779221	0.25
SEPN1	0.272727272727273	0.2
MTFR1L	0.428571428571429	0.3
AUNIP	0.402597402597403	0.35
PAQR7	0.0909090909090909	0.15
STMN1	8.93506493506493	8.6
PAFAH2	0.12987012987013	0.25
ZNF593	4.92207792207792	5.3
CNKSR1	0.337662337662338	0.25
CEP85	0.0779220779220779	0.1
SH3BGRL3	6.98701298701299	7.25
UBXN11	0.454545454545455	0.5
AIM1L	0.168831168831169	0.15
DHDDS	0.233766233766234	0.6
HMGN2	9.57142857142857	9.65
RPS6KA1	0.194805194805195	0.2
ARID1A	0.324675324675325	0.65
PIGV	0.25974025974026	0.15
ZDHHC18	0.194805194805195	0.05
SFN	6.80519480519481	6.25
GPN2	0.714285714285714	0.6
