2209	2207	2210	2208
1:840001-12760000	3	3	3.01623376623377	3.05555555555556
1:15180001-33480000	2.02702702702703	2	2.03896103896104	2
1:33660001-43880000	4.02702702702703	4.04444444444444	4.07467532467532	4.11111111111111
1:44120001-70960000	3	3	3	3
1:72840001-121500000	3.02702702702703	3	3.02272727272727	3.05555555555556
1:148240001-189140000	3.37837837837838	3.97777777777778	4	4
1:198880001-246260000	3.24324324324324	4	3.99675324675325	3.97222222222222
2:3900001-31800000	2.91891891891892	2.95555555555556	2.97402597402597	2.97222222222222
2:52360001-84560000	4	4	4	4
2:96080001-140380000	3	3	2.98376623376623	2.97222222222222
2:141260001-170980000	2	2	2.02272727272727	2
2:171260001-242020000	3	3	3	3.02777777777778
3:3720001-28120000	2.97297297297297	3	2.98376623376623	3
3:28620001-88940000	2	2	2.00649350649351	2
3:112940001-162780000	2	2.02222222222222	2.00324675324675	2
4:3400001-49040000	1.97297297297297	2	2	2
4:51920001-90200000	3	3	2.99675324675325	3
4:93740001-152940000	2	2	2	2
4:153540001-189980000	3	3	2.97077922077922	3
5:1060001-46320000	3.94594594594595	4	4	3.97222222222222
5:50360001-164980000	3	3	3	3
6:16520001-57420000	3	3	3	3
6:61520001-170500000	2	2	2	2
7:4980001-43740000	4.86486486486486	4.93333333333333	4.98701298701299	4.88888888888889
7:85160001-129520000	3	3	3.00324675324675	3.02777777777778
7:148380001-158560000	4	4	4.00649350649351	4
8:4200001-96220000	3	3	2.99025974025974	3
9:280001-25460000	3.94594594594595	3.97777777777778	3.93831168831169	3.88888888888889
9:78320001-112380000	4.89189189189189	4.86666666666667	4.92207792207792	4.94444444444444
9:119320001-138020000	2.97297297297297	3	2.97727272727273	3
10:12440001-39540000	3.94594594594595	3.88888888888889	3.92857142857143	3.91666666666667
10:55480001-82280000	2.97297297297297	3	2.99675324675325	3
10:102800001-133440000	2	2	2.02272727272727	2.02777777777778
11:260001-55580000	2.97297297297297	3	3	2.97222222222222
11:58040001-79760000	3	3	3.02922077922078	3.02777777777778
11:99300001-128720000	3.08108108108108	3.37777777777778	3.0974025974026	3.16666666666667
12:220001-34520000	3	3	2.99675324675325	2.97222222222222
12:40080001-57280000	4	4	4.01623376623377	4.02777777777778
12:57480001-133240000	2	2	2.00974025974026	2
13:25160001-93940000	2.97297297297297	3	3	3
14:19860001-39620000	2.83783783783784	2.37777777777778	2.91883116883117	2.77777777777778
14:48780001-73460000	3.86486486486486	3.4	3.92857142857143	3.69444444444444
14:73700001-105800000	4.83783783783784	4	4.98701298701299	4.69444444444444
15:23360001-101840000	3	3	3	2
16:7280001-30640000	2.91891891891892	2.97777777777778	2.97077922077922	2.91666666666667
16:51700001-90060000	3.05405405405405	3.04444444444444	3.05194805194805	3.05555555555556
17:7960001-18980000	3	3	3	3
17:28460001-45220000	3	3	3.04220779220779	3.05555555555556
17:48200001-83120000	3	3	3.01948051948052	3
18:25860001-69780000	2.97297297297297	3	2.99675324675325	3
19:10780001-24280000	4.83783783783784	4.44444444444444	4.90909090909091	4.75
19:38040001-58480000	2.02702702702703	2.02222222222222	2.03896103896104	2.08333333333333
20:140001-64240000	3	3	3	3
21:14100001-46660000	2.89189189189189	2.93333333333333	2.94805194805195	2.91666666666667
22:12380001-50640000	3	3	3.02272727272727	3.05555555555556
RP11-34P13.7	0	0	0.025974025974026	0.0555555555555556
FO538757.2	0.540540540540541	0.6	0.717532467532468	0.527777777777778
AP006222.2	0.810810810810811	0.644444444444444	0.659090909090909	0.666666666666667
RP4-669L17.10	0	0.0222222222222222	0.025974025974026	0.0555555555555556
RP11-206L10.9	0.108108108108108	0.311111111111111	0.146103896103896	0.0555555555555556
LINC00115	0.0540540540540541	0.0222222222222222	0.0584415584415584	0.111111111111111
FAM41C	0.0540540540540541	0.0888888888888889	0.0714285714285714	0.0555555555555556
RP11-54O7.1	0.864864864864865	1.15555555555556	0.821428571428571	0.722222222222222
RP11-54O7.2	0.108108108108108	0.222222222222222	0.204545454545455	0.0555555555555556
RP11-54O7.3	0.108108108108108	0.355555555555556	0.37987012987013	0.444444444444444
SAMD11	1.81081081081081	1.24444444444444	1.61688311688312	2.02777777777778
NOC2L	1.86486486486486	1.88888888888889	2.17532467532468	2.33333333333333
KLHL17	0.027027027027027	0.0666666666666667	0.146103896103896	0.166666666666667
