2154	2153	2155
1:13360001-229600000	1.24238948634363	1.03343416288556	1.19249278152069
2:10380001-77220000	1.62775591249158	1.40326797385621	1.40980392156863
2:94480001-141460000	0.962341456012342	0.811355311355311	0.741258741258741
2:141600001-238020000	1.16786536248562	0.993957431457431	0.81628787878788
3:20001-4.1e+07	1.16248835552633	0.997113997113997	1.08712121212121
3:41280001-59900000	1.2524308964092	1.02938775510204	1.04285714285714
3:84920001-126280000	1.06515538487351	0.928571428571428	1.01546391752577
3:130020001-167860000	1.4025887503569	1.17619047619048	1.12105263157895
3:169100001-184580000	1.67544164696063	1.36355311355311	1.45192307692307
4:100001-189960000	1.06763917992991	0.903521209972823	0.862282878411913
5:80001-59800000	1.01058891519547	0.864506627393225	0.984536082474226
5:61000001-180920000	1.34805342671527	1.15369110607206	1.3505291005291
6:260001-170480000	1.41819504445306	1.23158940995753	1.33206831119545
7:6980001-74700000	2.34098854731766	2.04880952380952	2.53333333333333
7:86500001-110660000	1.83185339127149	1.5636105188344	2.18656716417911
7:110700001-159240000	1.29704186427377	1.08445642407907	1.36477987421384
8:12600001-133020000	1.50420922731049	1.30815637065637	1.41385135135135
9:260001-38740000	1.32526934824563	1.1390556222489	1.10924369747899
9:42680001-137600000	1.60891491234008	1.38235294117647	1.43582887700535
10:120001-120240000	1.07293401865329	0.892153413089374	0.980295566502462
11:340001-34940000	1.15165316009198	1.00676072898295	0.740740740740741
11:50400001-66600000	2.51695824046428	2.18923034330011	1.99709302325582
11:66720001-83820000	2.20369632512949	1.87005649717514	1.80508474576271
11:95540001-134880000	1.74570668386681	1.47937518956627	1.55414012738854
12:120001-55640000	1.82739332271734	1.60865316275764	1.63992537313433
12:55800001-133140000	1.5400103043834	1.38081936685289	1.61033519553073
13:18800001-114300000	1.26812428078251	1.28457507404876	1.54784688995215
14:20060001-104060000	1.21430591895906	1.10168927906358	1.11731843575419
15:26660001-84140000	1.48423962348013	1.28395061728395	1.3989898989899
15:84520001-101820000	1.07895350872076	0.875192012288787	0.943548387096773
16:240001-34220000	1.49885195583896	1.30020363408521	1.17763157894737
16:46400001-90040000	1.58618360411199	1.38391699092088	1.1011673151751
17:7680001-18260000	1.4087832601395	1.29047619047619	1.18571428571429
17:22100001-82940000	1.87260634330395	1.63188655743988	1.57344064386318
18:240001-80160000	1.14663620318134	1.02167094382663	1.2125748502994
19:380001-24240000	1.4243362810967	1.24213601889842	1.37728459530026
19:36300001-58540000	1.59377958553946	1.40001319087192	1.41828254847645
20:31240001-49400000	1.97350260176403	1.60900550696469	1.65646258503401
21:13800001-46480000	1.14059281390046	1.02360248447205	1.15217391304347
22:16080001-50600000	1.57608823111912	1.3732325694783	1.11433447098976
FO538757.2	0.499095840867993	0.476190476190476	1
AP006222.2	0.292947558770344	0.261904761904762	0
RP11-206L10.9	0.0235081374321881	0.0238095238095238	0
LINC00115	0.0253164556962025	0	0
FAM41C	0.108499095840868	0.0952380952380952	0
RP11-54O7.1	0.0162748643761302	0	0
NOC2L	2.55877034358047	2.07142857142857	0.5
KLHL17	0.0488245931283906	0.0476190476190476	0
PLEKHN1	0.124773960216998	0.0476190476190476	0
HES4	0.00180831826401447	0.0238095238095238	0
ISG15	3.75949367088608	2.52380952380952	3
AGRN	0.88245931283906	0.642857142857143	0
RNF223	0.0922242314647378	0.0714285714285714	1
C1orf159	0.35623869801085	0.285714285714286	0.5
RP11-465B22.8	0.0904159132007233	0.0238095238095238	0
TTLL10	0.0180831826401447	0.0952380952380952	0
SDF4	5.98915009041591	4.97619047619048	3
B3GALT6	0.564195298372514	0.619047619047619	1
FAM132A	0.0452079566003617	0.0238095238095238	0
UBE2J2	2.63833634719711	2.4047619047619	2
ACAP3	0.475587703435805	0.404761904761905	0.5
PUSL1	1.56781193490054	1.28571428571429	0
CPSF3L	1.10849909584087	0.880952380952381	1
CPTP	0.717902350813743	0.428571428571429	0.5
DVL1	0.522603978300181	0.238095238095238	1
AURKAIP1	13.3110307414105	13.3095238095238	14
CCNL2	0.685352622061483	0.333333333333333	0
MRPL20	11.4647377938517	10.7857142857143	11.5
RP4-758J18.13	0.0325497287522604	0	0
VWA1	1.77938517179024	1.38095238095238	0.5
ATAD3C	0.62748643761302	0.571428571428571	1
ATAD3B	1.59493670886076	1.14285714285714	0.5
ATAD3A	2.68354430379747	2.23809523809524	3
TMEM240	0.00723327305605787	0.0238095238095238	0
SSU72	10.994575045208	10.3333333333333	11
RP5-832C2.5	0.0506329113924051	0	0
RP11-345P4.9	0.121157323688969	0.142857142857143	0.5
MIB2	6.47377938517179	5.28571428571429	4.5
MMP23B	0.027124773960217	0	0
CDK11B	1.06148282097649	0.833333333333333	0.5
RP11-345P4.10	0.0415913200723327	0.0476190476190476	0
SLC35E2B	0.209764918625678	0.214285714285714	0.5
CDK11A	0.486437613019892	0.547619047619048	0.5
SLC35E2	0.0198915009041591	0	0
NADK	1.03978300180832	0.880952380952381	1.5
GNB1	4.31645569620253	3.47619047619048	3.5
RP1-140A9.1	0.00904159132007233	0.0238095238095238	0
TMEM52	1.11030741410488	1.23809523809524	1.5
RP11-547D24.3	0.0162748643761302	0.0238095238095238	0
PRKCZ	0.716094032549729	0.595238095238095	0.5
RP5-892K4.1	0.00723327305605787	0	0
FAAP20	4.46835443037975	3.88095238095238	5.5
SKI	0.298372513562387	0.333333333333333	0
MORN1	0.216998191681736	0.285714285714286	0.5
RER1	7.64556962025316	5.64285714285714	9.5
PEX10	1.42133815551537	1.14285714285714	2
PANK4	0.0397830018083183	0.0238095238095238	0
HES5	0.0108499095840868	0	0
RP3-395M20.12	0.103074141048825	0.0714285714285714	0
RP3-395M20.8	0.222423146473779	0.0952380952380952	0.5
TNFRSF14	0.392405063291139	0.404761904761905	0
RP3-395M20.9	0.00904159132007233	0	0
FAM213B	1.01627486437613	0.69047619047619	0
MMEL1	0.0723327305605787	0.0476190476190476	0
TTC34	0.00904159132007233	0.0238095238095238	0
LINC00982	0.439421338155515	0.357142857142857	0.5
PRDM16	0.251356238698011	0.19047619047619	1
RP1-163G9.2	0.00361663652802893	0	0
RP11-22L13.1	0.0307414104882459	0	0
ARHGEF16	0.591320072332731	0.476190476190476	1
MEGF6	0.0578661844484629	0.0952380952380952	0
TPRG1L	0.792043399638336	0.595238095238095	0.5
WRAP73	0.705244122965642	0.595238095238095	0
LRRC47	0.911392405063291	0.69047619047619	0
CEP104	0.629294755877034	0.452380952380952	1
DFFB	0.0940325497287523	0.0952380952380952	0.5
C1orf174	0.945750452079566	0.976190476190476	2
NPHP4	0.0650994575045208	0.0476190476190476	0
KCNAB2	0.491862567811935	0.380952380952381	0.5
RPL22	13.1971066907776	12.8809523809524	13
RP1-120G22.11	0.0596745027124774	0.0238095238095238	0
RNF207	0.195298372513562	0.142857142857143	0.5
ICMT	1.72875226039783	1.35714285714286	1
LINC00337	0.0126582278481013	0	0
GPR153	0.113924050632911	0.0952380952380952	0
ACOT7	1.60940325497288	0.928571428571429	1
RP1-202O8.3	0.0650994575045208	0.0476190476190476	0
HES2	0.121157323688969	0.119047619047619	0
ESPN	0.0162748643761302	0	0
TNFRSF25	0.0198915009041591	0	0
PLEKHG5	0.0289330922242315	0.0238095238095238	0.5
NOL9	0.491862567811935	0.166666666666667	1
ZBTB48	0.0958408679927667	0.0476190476190476	0.5
KLHL21	0.390596745027125	0.404761904761905	0
PHF13	0.157323688969259	0.0714285714285714	0
THAP3	0.379746835443038	0.428571428571429	0.5
DNAJC11	0.437613019891501	0.404761904761905	0.5
RP11-312B8.1	0.0054249547920434	0	0
CAMTA1	5.68535262206148	4.71428571428571	10.5
VAMP3	1.25497287522604	1.04761904761905	2
PER3	0.0940325497287523	0.0952380952380952	0
UTS2	0.0976491862567812	0.119047619047619	0
PARK7	11.4141048824593	11.2142857142857	12.5
ERRFI1	1.03074141048825	1.23809523809524	1
RP11-431K24.1	0.0198915009041591	0.0476190476190476	0
RERE	0.428571428571429	0.523809523809524	0.5
ENO1	11.1754068716094	9.80952380952381	10
ENO1-AS1	0.146473779385172	0.214285714285714	0
GPR157	0.126582278481013	0.166666666666667	0
H6PD	0.162748643761302	0.214285714285714	0.5
SPSB1	0.32368896925859	0.333333333333333	0.5
SLC25A33	3.4755877034358	2.61904761904762	3
TMEM201	0.283905967450271	0.285714285714286	0.5
CLSTN1	0.851717902350814	0.952380952380952	0.5
